timestamp,frame_id,mcs_name,snr_db,pilot_snr_db,ber,per,bit_errors,total_bits
1762741042.439,0,QPSK-5/6,4.37,4.37,0.000000,1,0,16200
1762741047.702,1,QPSK-2/3,8.10,8.10,0.000000,1,0,16200
1762741050.381,2,8APSK-5/6,4.85,4.85,0.000000,1,0,16200
1762741054.155,3,QPSK-4/5,4.19,4.19,0.000000,1,0,16200
1762741058.981,4,QPSK-2/3,7.14,7.14,0.000000,1,0,16200
1762741064.046,5,8APSK-2/3,4.50,4.50,0.000000,1,0,16200
1762741069.009,6,QPSK-2/3,8.60,8.60,0.000000,1,0,16200
1762741071.944,7,8APSK-8/9,4.80,4.80,0.000000,1,0,16200
1762741075.411,8,QPSK-4/5,7.72,7.72,0.000000,1,0,16200
1762741079.850,9,8APSK-3/4,6.50,6.50,0.000000,1,0,16200
1762741082.199,10,QPSK-8/9,6.70,6.70,0.000000,1,0,16200
1762741088.813,11,8APSK-3/5,4.83,4.83,0.000000,1,0,16200
1762741092.106,12,QPSK-4/5,6.37,6.37,0.000000,1,0,16200
1762741094.831,13,QPSK-8/9,6.74,6.74,0.000000,1,0,16200
1762741101.190,14,8APSK-3/5,7.47,7.47,0.000000,1,0,16200
1762741106.149,15,8APSK-2/3,8.81,8.81,0.000000,1,0,16200
1762741108.747,16,8APSK-8/9,4.59,4.59,0.000000,1,0,16200
1762741112.865,17,QPSK-3/4,5.24,5.24,0.000000,1,0,16200
1762741115.989,18,QPSK-5/6,6.37,6.37,0.000000,1,0,16200
1762741118.649,19,QPSK-8/9,4.12,4.12,0.000000,1,0,16200
1762741123.638,20,QPSK-2/3,4.88,4.88,0.000000,1,0,16200
1762741127.256,21,QPSK-4/5,4.94,4.94,0.000000,1,0,16200
1762741131.105,22,QPSK-4/5,7.19,7.19,0.000000,1,0,16200
1762741136.169,23,8APSK-2/3,4.53,4.53,0.000000,1,0,16200
1762741140.230,24,QPSK-3/4,8.23,8.23,0.000000,1,0,16200
1762741143.359,25,8APSK-5/6,6.23,6.23,0.000000,1,0,16200
1762741145.964,26,QPSK-8/9,4.45,4.45,0.000000,1,0,16200
1762741151.021,27,QPSK-2/3,4.74,4.74,0.000000,1,0,16200
1762741155.325,28,QPSK-3/4,4.58,4.58,0.000000,1,0,16200
1762741159.476,29,QPSK-3/4,6.49,6.49,0.000000,1,0,16200
1762741162.129,30,QPSK-8/9,6.13,6.13,0.000000,1,0,16200
1762741164.769,31,QPSK-8/9,4.89,4.89,0.000000,1,0,16200
